Date,tmin (degrees C),tmean (degrees C),tmax (degrees C)
1/17/2024,-16.6,-12.4,-8.1
1/18/2024,-16.5,-8.8,-1.2
1/19/2024,-7.3,-3.7,-0.2
1/20/2024,-13.6,-7.6,-1.6
1/21/2024,-16.2,-12.1,-7.9
1/22/2024,-16,-8.7,-1.3
1/23/2024,-4.5,2.6,9.6
1/24/2024,6.3,9.1,11.8
1/25/2024,11.4,13.5,15.5
1/26/2024,10.6,13.1,15.6
1/27/2024,7.4,10.6,13.8
1/28/2024,3.2,7,10.8
1/29/2024,2,4,6
1/30/2024,-1.8,1.3,4.4
1/31/2024,-0.4,6,12.5
2/1/2024,-2.3,3.5,9.2
2/2/2024,-1.3,7.4,16.1
2/3/2024,3.9,11.8,19.6
2/4/2024,3.5,10.7,17.9
2/5/2024,3.6,8.5,13.4
2/6/2024,-0.2,8,16.2
2/7/2024,-2.4,5.5,13.4
2/8/2024,-2.4,8.5,19.3
2/9/2024,8.6,13.5,18.4
2/10/2024,12.7,14.8,17
2/11/2024,4.9,10.7,16.5
2/12/2024,5.1,7.9,10.8
2/13/2024,-0.3,5.6,11.4
2/14/2024,-1.5,5,11.6
2/15/2024,2,9.8,17.7
2/16/2024,2.6,10.7,18.9
2/17/2024,-4.2,5.7,15.7
2/18/2024,-9.1,-4.3,0.6
2/19/2024,-8.7,0.3,9.2
2/20/2024,-4.9,4.8,14.5
2/21/2024,0.8,8.9,17
2/22/2024,1.9,11.9,21.9
2/23/2024,5.7,10.7,15.8
2/24/2024,4.6,10.5,16.3
2/25/2024,-2.1,3,8.1
2/26/2024,0,10.3,20.6
2/27/2024,12.5,18.5,24.5
2/28/2024,11.5,17.5,23.4
2/29/2024,-3.7,3.4,10.5
3/1/2024,-3,3.1,9.2
3/2/2024,3,5.8,8.7
3/3/2024,4,9.7,15.3
3/4/2024,4.4,13.3,22.2
3/5/2024,13.9,19.9,25.9
3/6/2024,12.9,16,19.1
3/7/2024,10.7,12.3,13.9
3/8/2024,10.9,13.9,17
3/9/2024,8.9,13.9,18.9
3/10/2024,-0.2,4.6,9.3
3/11/2024,-2.8,4.3,11.3
3/12/2024,-2.1,7.8,17.7
3/13/2024,2.1,11.9,21.7
3/14/2024,9.8,17.6,25.4
3/15/2024,14.8,20.6,26.5
3/16/2024,3.6,11,18.5
3/17/2024,3.7,11.6,19.4
3/18/2024,-0.8,6.9,14.7
3/19/2024,-4.9,0.9,6.7
3/20/2024,-4.1,5,14.1
3/21/2024,2.4,11.4,20.5
3/22/2024,3.1,10,17
3/23/2024,4.7,13.8,22.8
3/24/2024,0.9,6.6,12.2
3/25/2024,1.8,10.9,20
3/26/2024,12.4,16,19.5
3/27/2024,1.1,11.1,21
3/28/2024,0.1,6.7,13.4
3/29/2024,1.3,9.2,17
3/30/2024,5.1,14.1,23
3/31/2024,14.1,20,25.8
4/1/2024,16.7,21,25.2
4/2/2024,19.7,22.4,25.2
